date,TanChau_Discharge,MyTho_EC,MyTho_Salinity,TanChau_Discharge_lag_1d,TanChau_Discharge_lag_3d,TanChau_Discharge_lag_5d,TanChau_Discharge_lag_7d,TanChau_Discharge_lag_14d,TanChau_Discharge_lag_21d,TanChau_Discharge_lag_30d,TanChau_Discharge_roll_3d,TanChau_Discharge_roll_7d,TanChau_Discharge_roll_14d
1994-03-09,284.26367,371.6071428571429,237.82857142857142,289.80273,302.75977,320.85938,343.60156,390.31445,309.45312,336.40234,289.9459635416667,305.181640625,342.03724888392856
1994-03-10,278.81836,384.8392857142857,246.29714285714286,284.26367,295.77148,311.12695,331.6875,402.3457,310.50195,332.70312,284.294921875,297.62890625,333.2138671875
1994-03-11,273.3125,398.07142857142856,254.76571428571427,278.81836,289.80273,302.75977,320.85938,402.83203,316.4043,328.76953,278.7981770833333,290.8364955357143,323.9624720982143
1994-03-12,249.69336,411.30357142857144,263.2342857142857,273.3125,284.26367,295.77148,311.12695,394.89648,328.0039,324.89062,267.2747395833333,282.06026785714283,313.5908203125
1994-03-13,215.28906,424.5357142857143,271.7028571428571,249.69336,278.81836,289.80273,302.75977,382.83398,342.19922,321.16406,246.09830729166666,269.564453125,301.62332589285717
1994-03-14,184.16992,437.76785714285717,280.1714285714286,215.28906,273.3125,284.26367,295.77148,369.4453,356.08594,317.9297,216.38411458333334,253.62137276785714,288.38936941964283
1994-03-15,156.89648,451.0,288.64,184.16992,249.69336,278.81836,289.80273,356.29492,372.0371,315.14062,185.45182291666666,234.634765625,274.14662388392856
1994-03-16,133.50781,459.0,293.76,156.89648,215.28906,273.3125,284.26367,343.60156,390.31445,312.85547,158.19140625,213.09821428571428,259.13992745535717
1994-03-17,114.271484,467.0,298.88,133.50781,184.16992,249.69336,278.81836,331.6875,402.3457,310.86133,134.89192708333334,189.59151785714286,243.61021205357142
1994-03-18,99.07617,475.0,304.0,114.271484,156.89648,215.28906,273.3125,320.85938,402.83203,309.45312,115.61848958333333,164.70061383928572,227.7685546875
1994-03-19,87.427734,483.0,309.12,99.07617,133.50781,184.16992,249.69336,311.12695,394.89648,310.50195,100.25846354166667,141.51981026785714,211.7900390625
